credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;Precio de compra;Precio_rec;Diferencia;icvs;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;Valoracion_pd
96034;20131218,0;20170930;20240831;84; 46;17580215,54;17580215,54;999;0,000000000000000000000000;0,000000000000000000000000;3899722,00999999978;0,0000000000000000;0,000000000000000000000000;ICV360;17580215;70;69515649;1,7068170427184470306;10300000,0000;Vehicular;;8891806,00139917806
96101;20131220,0;20170930;20240831;84; 46;6946079,60;6946079,60;999;0,000000000000000000000000;0,000000000000000000000000;1942050,76000000001;0,0000000000000000;0,000000000000000000000000;ICV360;6946079;70;31628007;0,8429708252427183801;8240000,0000;Vehicular;;1942050,76000000001
96203;20131220,0;20170930;20240831;84; 46;23089941,02;23089941,02;999;0,000000000000000000000000;0,000000000000000000000000;3743424,43999999994;0,0000000000000000;0,000000000000000000000000;ICV360;23089941;70;91236458;1,1853152474332651067;19480000,0000;Vehicular;Refinanciacion;7071277,98975974880
96250;20131224,0;20171231;20240831;81; 49;5813217,78;5813217,78;999;0,000000000000000000000000;0,000000000000000000000000;592993,27000000002;0,0000000000000000;0,000000000000000000000000;ICV360;5813217;70;26809315;0,6643677462857142668;8750000,0000;Vehicular;;592993,27000000002
96253;20131224,0;20180731;20240831;74; 56;12163878,18;12163878,18;999;0,000000000000000000000000;0,000000000000000000000000;502368,16999999998;0,0000000000000000;0,000000000000000000000000;ICV360;12163878;70;41351460;0,8158201327967807837;14910000,0000;Vehicular;;502368,16999999998
96291;20131223,0;20171231;20240831;80; 49;139418699,68;139418699,68;999;0,000000000000000000000000;0,000000000000000000000000;8917105,42999999970;0,0000000000000000;0,000000000000000000000000;ICV360;139418699;70;740491392;6,3357736732560798742;22005000,0000;Vehicular;Refinanciacion;51289676,79878213257
96357;20131227,0;20170930;20240831;84; 46;34221601,78;34221601,78;999;0,000000000000000000000000;0,000000000000000000000000;5792965,30999999959;0,0000000000000000;0,000000000000000000000000;ICV360;34221601;70;143313356;0,9435236222773641934;36270000,0000;Vehicular;;5792965,30999999959
96408;20131230,0;20171231;20240831;81; 49;14823161,85;14823161,85;999;0,000000000000000000000000;0,000000000000000000000000;1073574,07000000007;0,0000000000000000;0,000000000000000000000000;ICV360;14823161;70;89772915;1,3019905006587619845;11385000,0000;Vehicular;;2121911,50067017367
96421;20131230,0;20170930;20240831;84; 46;5311554,44;5311554,44;999;0,000000000000000000000000;0,000000000000000000000000;1080292,54000000004;0,0000000000000000;0,000000000000000000000000;ICV360;5311554;70;21351041;0,5419953510204081892;9800000,0000;Vehicular;;1080292,54000000004
96431;20131230,0;20171231;20240831;81; 49;13382056,67;13382056,67;999;0,000000000000000000000000;0,000000000000000000000000;1137037,87999999989;0,0000000000000000;0,000000000000000000000000;ICV360;13382056;70;77691831;1,4935331104910709588;8960000,0000;Vehicular;;2410690,67124692956
