credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;Precio de compra;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;Valoracion_pd
214482;20220818,0000000;20221231;20240930;22;  4;13928311,88;11653410,04;28;0,163329329469322714896151;0,085215302331820549919250;13503729,22266940027;11653410;70;12236892;0,43892316534839920239;26550000,0000;Vehicular;Reestructuracion;1,08521530233182
214485;20220919,0000000;20231231;20240930;10; 16;81318669,53;81318669,53;422;0,000000000000000000000000;0,000000000000000000000000;42803597,48528160155;81318669;70;123109020;0,69143236937649332763;117609000,0000;Vehicular;;1,00000000000000
214492;20220919,0000000;20230930;20240930;13; 13;95990000,00;95990000,00;544;0,000000000000000000000000;0,000000000000000000000000;42752635,71290809661;95990000;70;153286084;0,93593993759750393480;102560000,0000;Vehicular;;1,00000000000000
214494;20220920,0000000;20230930;20240930;13; 13;47666464,99;3257734,00;346;0,931655640906380533294850;0,798561977919754695243171;21229992,84758369997;3257734;70;5499454;NA;0,0000;Vehicular;;1,79856197791975
214508;20220920,0000000;20240731;20240930;3; 23;30345383,89;30345383,89;223;0,000000000000000000000000;0,000000000000000000000000;13515419,36626389995;30345383;70;37829151;1,05917570296684093734;28650000,0000;Vehicular;;1,79438177722513
214522;20220920,0000000;20240531;20240930;5; 21;85011615,20;85011615,20;285;0,000000000000000000000000;0,000000000000000000000000;37863012,89156150073;85011615;70;112424503;0,75565880177777777771;112500000,0000;Vehicular;;1,00000000000000
214558;20220815,0000000;20240630;20240930;4; 22;22275484,08;22275484,08;259;0,000000000000000000000000;0,000000000000000000000000;9921196,50776864029;22275484;70;27269516;0,99002151466666654667;22500000,0000;Vehicular;Reestructuracion;1,00000000000000
214603;20220922,0000000;20230930;20240930;13; 13;42811190,51;73509309,37;192;0,000000000000000000000000;0,000000000000000000000000;19067519,64273459837;73509309;70;81425569;0,49834117044499282034;147508000,0000;Vehicular;;1,00000000000000
214604;20220922,0000000;20230531;20240930;17;  9;65335796,81;65335796,81;648;0,000000000000000000000000;0,000000000000000000000000;29099671,68872670084;65335796;70;113560348;1,37621478272775199514;47475000,0000;Vehicular;;2,03216108704581
214657;20220923,0000000;20240930;20240930;1; 25;53630590,58;53630590,58;178;0,000000000000000000000000;0,000000000000000000000000;23886332,71526540071;53630590;70;63489940;0,89608337132038373696;59850000,9000;Vehicular;;1,00000000000000
214688;20220926,0000000;20230531;20240930;17;  9;35600000,00;35600000,00;644;0,000000000000000000000000;0,000000000000000000000000;15855754,05125040002;35600000;70;63187925;1,49737118822292303300;23775000,0000;Vehicular;;2,12302839116719
