credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;Valoracion_pd
74998;20110902,00;20111031;20111031;1;  2;30189977,20;30189977,20;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75001;20110905,00;20111031;20111031;1;  2;33559974,00;33559974,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75006;20110905,00;20111031;20111031;1;  2;40000000,00;40000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75029;20110906,00;20111031;20111031;1;  2;36521149,00;36521149,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75045;20110905,00;20111031;20111031;1;  2;44341350,00;44341350,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75049;20110907,00;20111031;20111031;1;  2;49309388,00;49309388,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75051;20110906,00;20111031;20111031;1;  2;33298404,00;33298404,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75059;20110906,00;20111031;20111031;1;  2;34547033,00;34547033,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75075;20110907,00;20111031;20111031;1;  2;40370675,00;40370675,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75082;20110907,00;20111031;20111031;1;  2;34682354,00;34682354,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75101;20110908,00;20111031;20111031;1;  2;41446568,00;41446568,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75105;20110907,00;20111031;20111031;1;  2;45000000,00;45000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75136;20110909,00;20111031;20111031;1;  2;52765755,40;52765755,40;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75145;20110909,00;20111031;20111031;1;  2;39482323,00;39482323,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75150;20110908,00;20111031;20111031;1;  2;33559974,00;33559974,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75181;20110912,00;20111031;20111031;1;  2;41053719,00;41053719,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75191;20110909,00;20111031;20111031;1;  2;40000000,00;40000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75200;20110912,00;20111031;20111031;1;  2;39484197,30;39484197,30;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75222;20110909,00;20111031;20111031;1;  2;39489763,35;39489763,35;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75274;20110914,00;20111031;20111031;1;  2;33786998,00;33786998,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75360;20110916,00;20111031;20111031;1;  2;46377210,56;46377210,56;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75379;20110919,00;20111031;20111031;1;  2;32513693,00;32513693,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75403;20110919,00;20111031;20111031;1;  2;40000000,00;40000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75451;20110921,00;20111031;20111031;1;  2;31990000,00;31990000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75490;20110922,00;20111031;20111031;1;  2;35000000,00;35000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75533;20110926,00;20111031;20111031;1;  2;40692500,90;40692500,90;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75564;20110927,00;20111031;20111031;1;  2;47881466,00;47881466,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75567;20110927,00;20111031;20111031;1;  2;48370000,00;48370000,00;4;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75571;20110926,00;20111031;20111031;1;  2;45404671,00;45404671,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75573;20110926,00;20111031;20111031;1;  2;64672045,00;64672045,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75584;20110927,00;20111031;20111031;1;  2;36800000,00;36800000,00;4;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75668;20110929,00;20111031;20111031;1;  2;30000000,00;30000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75701;20110930,00;20111031;20111031;1;  2;48000000,00;48000000,00;1;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75707;20110930,00;20111031;20111031;1;  2;68530000,00;68530000,00;1;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75711;20110930,00;20111031;20111031;1;  2;49321237,33;49321237,33;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75730;20110930,00;20111031;20111031;1;  2;39456989,67;39456989,67;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75739;20110930,00;20111031;20111031;1;  2;36900000,00;36900000,00;1;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75762;20110930,00;20111031;20111031;1;  1;44541000,00;44541000,00;1;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
72019;20110506,00;20111130;20120430;6;  7;45732287,43;0,00;0;1,000000000000000000000000;1,7142857142857141905523122;NA;NA;NA;NA;NA;NA;NA;2,71428571428571
73739;20110722,00;20111130;20120831;10;  5;39154975,58;0,00;0;1,000000000000000000000000;1,0909090909090908283474164;NA;NA;NA;NA;NA;NA;NA;2,09090909090909
72727;20110610,00;20111130;20120930;11;  6;47897482,65;0,00;0;1,000000000000000000000000;1,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;2,00000000000000
73140;20110628,00;20111130;20121130;13;  6;43490021,87;41123150,99;276;0,054423308571217222928684;0,0466485502039004767960151;NA;NA;NA;NA;NA;NA;NA;1,04664855020390
72021;20110506,00;20111130;20121231;14;  7;42989109,43;0,00;0;1,000000000000000000000000;0,8000000000000000444089210;NA;NA;NA;NA;NA;NA;NA;1,80000000000000
72097;20110512,00;20111130;20121231;14;  7;37705548,22;0,00;0;1,000000000000000000000000;0,8000000000000000444089210;NA;NA;NA;NA;NA;NA;NA;1,80000000000000
73342;20110706,00;20111130;20121231;14;  5;49955059,45;0,00;0;1,000000000000000000000000;0,8000000000000000444089210;NA;NA;NA;NA;NA;NA;NA;1,80000000000000
72245;20110519,00;20111130;20130228;16;  7;39590826,14;0,00;0;1,000000000000000000000000;0,7058823529411764052809986;NA;NA;NA;NA;NA;NA;NA;1,70588235294118
73428;20110711,00;20111130;20130630;20;  5;43789180,41;0,00;0;1,000000000000000000000000;0,5714285714285713968507707;NA;NA;NA;NA;NA;NA;NA;1,57142857142857
73892;20110728,00;20111130;20130630;20;  5;34932521,81;0,00;0;1,000000000000000000000000;0,5714285714285713968507707;NA;NA;NA;NA;NA;NA;NA;1,57142857142857
71887;20110429,00;20111130;20130731;21;  8;47132438,02;0,00;0;1,000000000000000000000000;0,5454545454545454141737082;NA;NA;NA;NA;NA;NA;NA;1,54545454545455
72083;20110509,00;20111130;20130831;22;  7;36363574,25;0,00;0;1,000000000000000000000000;0,5217391304347825942144823;NA;NA;NA;NA;NA;NA;NA;1,52173913043478
71297;20110404,00;20111130;20131130;25;  8;35229507,96;0,00;0;1,000000000000000000000000;0,4615384615384615640820698;NA;NA;NA;NA;NA;NA;NA;1,46153846153846
73978;20110729,00;20111130;20131130;25;  5;36550142,22;0,00;0;1,000000000000000000000000;0,4615384615384615640820698;NA;NA;NA;NA;NA;NA;NA;1,46153846153846
72552;20110530,00;20111130;20140228;28;  7;52201950,28;0,00;0;1,000000000000000000000000;0,4137931034482758563264326;NA;NA;NA;NA;NA;NA;NA;1,41379310344828
72630;20110603,00;20111130;20140228;28;  6;38501540,14;0,00;0;1,000000000000000000000000;0,4137931034482758563264326;NA;NA;NA;NA;NA;NA;NA;1,41379310344828
74017;20110729,00;20111130;20140228;28;  5;34686707,99;0,00;0;1,000000000000000000000000;0,4137931034482758563264326;NA;NA;NA;NA;NA;NA;NA;1,41379310344828
72600;20110602,00;20111130;20140331;29;  6;44085908,49;0,00;0;1,000000000000000000000000;0,4000000000000000222044605;NA;NA;NA;NA;NA;NA;NA;1,40000000000000
73652;20110719,00;20111130;20140331;29;  5;36038939,31;0,00;0;1,000000000000000000000000;0,4000000000000000222044605;NA;NA;NA;NA;NA;NA;NA;1,40000000000000
73811;20110725,00;20111130;20140331;29;  5;45731216,52;0,00;0;1,000000000000000000000000;0,4000000000000000222044605;NA;NA;NA;NA;NA;NA;NA;1,40000000000000
71293;20110404,00;20111130;20140430;30;  8;46353378,79;18260541,33;26;0,606058030575768569292450;0,2346031086099749640716539;NA;NA;NA;NA;NA;NA;NA;1,23460310860997
71383;20110407,00;20111130;20140430;30;  8;43657705,52;16026456,75;0;0,632906572640238085369901;0,2449960926349308842908670;NA;NA;NA;NA;NA;NA;NA;1,24499609263493
