credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;garantia_anterior;LTV_ant;Valoracion_pd
74577;20110823,00;20110930;20110930;1;  2;49660000,00;49660000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74655;20110824,00;20110930;20110930;1;  2;46320000,00;46320000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74689;20110823,00;20110930;20110930;1;  2;45000000,00;45000000,00;7;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74695;20110825,00;20110930;20110930;1;  2;57545486,00;57545486,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74710;20110826,00;20110930;20110930;1;  2;45000000,00;45000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74771;20110829,00;20110930;20110930;1;  2;48811213,95;48811213,95;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74896;20110830,00;20110930;20110930;1;  2;45500000,00;45500000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75431;20110824,00;20110930;20110930;1;  1;60322821,00;60322821,00;6;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
73191;20110628,00;20111031;20111031;1;  5;58578080,52;58578080,52;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
73193;20110629,00;20111031;20111031;1;  5;117150934,30;117150934,30;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74140;20110804,00;20111031;20111031;1;  3;36469275,98;36469275,98;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74217;20110809,00;20111031;20111031;1;  3;31403825,75;31403825,75;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74344;20110812,00;20111031;20111031;1;  3;42850290,54;42850290,54;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74516;20110819,00;20111031;20111031;1;  3;30376959,98;30376959,98;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74559;20110822,00;20111031;20111031;1;  3;39725142,22;39725142,22;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74622;20110824,00;20111031;20111031;1;  3;37703386,11;37703386,11;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74693;20110825,00;20111031;20111031;1;  3;37007069,93;37007069,93;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74803;20110830,00;20111031;20111031;1;  3;30000000,00;30000000,00;1;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74860;20110830,00;20111031;20111031;1;  3;30579166,67;30579166,67;1;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74880;20110829,00;20111031;20111031;1;  3;32916814,71;32916814,71;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74883;20110830,00;20111031;20111031;1;  3;38928995,47;38928995,47;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74912;20110830,00;20111031;20111031;1;  3;34081681,51;34081681,51;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74926;20110830,00;20110930;20111031;2;  1;63000000,00;63000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74959;20110902,00;20111031;20111031;1;  2;52314078,00;52314078,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74976;20110905,00;20111031;20111031;1;  2;45196061,00;45196061,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
74998;20110902,00;20111031;20111031;1;  2;30189977,20;30189977,20;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75001;20110905,00;20111031;20111031;1;  2;33559974,00;33559974,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75006;20110905,00;20111031;20111031;1;  2;40000000,00;40000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75029;20110906,00;20111031;20111031;1;  2;36521149,00;36521149,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75045;20110905,00;20111031;20111031;1;  2;44341350,00;44341350,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75049;20110907,00;20111031;20111031;1;  2;49309388,00;49309388,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75051;20110906,00;20111031;20111031;1;  2;33298404,00;33298404,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75059;20110906,00;20111031;20111031;1;  2;34547033,00;34547033,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75075;20110907,00;20111031;20111031;1;  2;40370675,00;40370675,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75082;20110907,00;20111031;20111031;1;  2;34682354,00;34682354,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75101;20110908,00;20111031;20111031;1;  2;41446568,00;41446568,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75105;20110907,00;20111031;20111031;1;  2;45000000,00;45000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75136;20110909,00;20111031;20111031;1;  2;52765755,40;52765755,40;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75145;20110909,00;20111031;20111031;1;  2;39482323,00;39482323,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75150;20110908,00;20111031;20111031;1;  2;33559974,00;33559974,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75181;20110912,00;20111031;20111031;1;  2;41053719,00;41053719,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75191;20110909,00;20111031;20111031;1;  2;40000000,00;40000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75200;20110912,00;20111031;20111031;1;  2;39484197,30;39484197,30;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75222;20110909,00;20111031;20111031;1;  2;39489763,35;39489763,35;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75274;20110914,00;20111031;20111031;1;  2;33786998,00;33786998,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75360;20110916,00;20111031;20111031;1;  2;46377210,56;46377210,56;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75379;20110919,00;20111031;20111031;1;  2;32513693,00;32513693,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75403;20110919,00;20111031;20111031;1;  2;40000000,00;40000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75451;20110921,00;20111031;20111031;1;  2;31990000,00;31990000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75490;20110922,00;20111031;20111031;1;  2;35000000,00;35000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75533;20110926,00;20111031;20111031;1;  2;40692500,90;40692500,90;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75564;20110927,00;20111031;20111031;1;  2;47881466,00;47881466,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75567;20110927,00;20111031;20111031;1;  2;48370000,00;48370000,00;4;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75571;20110926,00;20111031;20111031;1;  2;45404671,00;45404671,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75573;20110926,00;20111031;20111031;1;  2;64672045,00;64672045,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75584;20110927,00;20111031;20111031;1;  2;36800000,00;36800000,00;4;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75668;20110929,00;20111031;20111031;1;  2;30000000,00;30000000,00;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75701;20110930,00;20111031;20111031;1;  2;48000000,00;48000000,00;1;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75707;20110930,00;20111031;20111031;1;  2;68530000,00;68530000,00;1;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75711;20110930,00;20111031;20111031;1;  2;49321237,33;49321237,33;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75730;20110930,00;20111031;20111031;1;  2;39456989,67;39456989,67;0;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75739;20110930,00;20111031;20111031;1;  2;36900000,00;36900000,00;1;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
75762;20110930,00;20111031;20111031;1;  1;44541000,00;44541000,00;1;0,000000000000000000000000;0,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,00000000000000
72019;20110506,00;20111130;20120430;6;  7;45732287,43;0,00;0;1,000000000000000000000000;1,7142857142857141905523122;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,71428571428571
73739;20110722,00;20111130;20120831;10;  5;39154975,58;0,00;0;1,000000000000000000000000;1,0909090909090908283474164;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,09090909090909
72727;20110610,00;20111130;20120930;11;  6;47897482,65;0,00;0;1,000000000000000000000000;1,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,00000000000000
73140;20110628,00;20111130;20121130;13;  6;43490021,87;41123150,99;276;0,054423308571217222928684;0,0466485502039004767960151;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,04664855020390
72021;20110506,00;20111130;20121231;14;  7;42989109,43;0,00;0;1,000000000000000000000000;0,8000000000000000444089210;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,80000000000000
